track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
4lH5L59hPQGr05aJyb2Q2E,0.487,0.74,-4.973,0.0944,0.157,0.0,0.612,0.522,73.779,181688
7eZXAeqqdLDrAp2MvrPzWn,0.708,0.555,-7.275,0.0734,0.182,0.00565,0.111,0.316,140.017,214893
7ACW7VpgoKmfM1sKo15UhX,0.748,0.713,-6.399,0.355,0.00496,0.0,0.245,0.482,75.591,279573
2BITQ360Knh6qNAOqR7Dyq,0.584,0.859,-5.616,0.121,0.0144,0.0,0.847,0.369,77.005,236883
4Owj7xIXIFyNYIfHzL1YV8,0.724,0.544,-10.74,0.0359,0.407,7.59e-06,0.0636,0.712,106.347,176253
3LVcKphzONOdQ2EATazlZq,0.847,0.912,-3.129,0.257,0.0781,0.0,0.142,0.88,81.486,156895
186bb3vDk1yzNK5u3e7h7O,0.494,0.628,-7.615,0.0541,0.0814,0.0,0.111,0.101,129.966,177387
6pYNq0ZwpPVazKzsqpf0G8,0.678,0.733,-5.025,0.0281,0.00115,0.0,0.104,0.581,121.009,200280
1au2UduxcvHfa0fZS3Szci,0.607,0.735,-6.065,0.095,0.253,0.0,0.11,0.964,88.894,151967
0cu0rhnlCnJ7JIeHRiLpj3,0.902,0.669,-5.049,0.457,0.161,0.0,0.0728,0.628,139.949,112547
4b1yxSdlumA8N4fEk4UOZp,0.594,0.628,-6.345,0.359,0.12,0.0,0.0582,0.556,141.391,257213
7v4pPS4A7NgY7bxFA3Etv3,0.788,0.764,-4.054,0.254,0.00918,0.0,0.224,0.841,100.095,96000
03eyNjBM2mpx28H6kdaufN,0.658,0.445,-8.749,0.154,0.161,0.0,0.0845,0.513,174.111,103240
6rTInqW3YECMkQsBEHw4sd,0.887,0.485,-9.358,0.2,0.0392,0.0,0.141,0.328,125.987,215693
5RdiPZzjXTmp9N51wBEzCv,0.713,0.521,-6.696,0.16,0.00975,0.0,0.205,0.229,139.787,123507
7nZwBbH8F8FqArrVIe8Zl4,0.601,0.537,-9.143,0.115,0.0339,0.0,0.137,0.228,140.221,130201
4HyVMzg0sUQsdOxRvSO8Ka,0.953,0.621,-7.565,0.154,0.00799,4.87e-06,0.307,0.378,132.063,113430
