track_id,track_name,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_popularity
01Ur9YwN4FFvIEiFv7juoc,XYZ,153000,0.151,0.924,-2.041,0.0811,0.00936,0.421,0.211,0.391,204.718,11
4T486gLPDJaynGqfTjx0WM,Parousia,276840,0.173,0.851,-7.468,0.0976,6.17e-05,0.906,0.0773,0.219,158.493,30
5393dow39xUSpTmgFeh9xp,Durandal -Magical Freezing-,333001,0.335,0.953,-2.567,0.0728,0.00496,0.581,0.271,0.193,150.054,1
2xPoDQq9MCa4JRKImSPU2s,Akasagarbha -reincarnate-,117549,0.431,0.985,-4.025,0.0695,0.00762,0.554,0.202,0.492,96.043,21
5pBIavXhjzTi0u7pkOK71N,フォニイ,189885,0.624,0.897,-6.651,0.106,0.0724,2.57e-05,0.53,0.609,169.903,64
5xoJQdsQhnRlJCTPUhwtXs,88☆彡 - piano ver.,147640,0.294,0.57,-11.162,0.0499,0.893,0.91,0.114,0.328,175.454,24
0n099xB2P5c2ZLDazd3dgr,PAINT,208405,0.53,0.822,-3.299,0.0371,0.00823,0.0,0.242,0.513,147.025,57
2mXeS1x0TGoVwUpryXbNWC,Hebereke Junkie,235207,0.669,0.949,-2.213,0.0362,0.00167,4.72e-06,0.34,0.733,104.07,36
6jx0VGgSBuiTSeoJzzBYzT,天火明命,141147,0.474,0.949,-6.995,0.067,4.32e-05,0.77,0.164,0.592,155.119,15
6csR3yrfPS2i8qD9XXVPG3,Nasty * Nasty * Spell,264000,0.507,0.975,-2.561,0.35,0.00747,5.42e-06,0.245,0.412,128.025,41
4WfgfyCeXhyitWzm1dUzWZ,二次元ドリームフィーバー,188253,0.393,0.957,-1.117,0.0761,0.0221,0.0101,0.146,0.913,179.913,40
75YCl9VcgGUKPmjrH5wWkp,DAYBREAK FRONTLINE,216618,0.642,0.837,-2.973,0.0418,0.793,0.006,0.184,0.249,136.022,52
