track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3w2ibNT39JFjZNjkdBLKpG,0.528,0.338,-21.382,0.0327,0.485,0.917,0.208,0.12,114.021,188421
3ZtagDMr2RQxaNRNvGqWT1,0.585,0.801,-12.205,0.0404,0.0879,0.786,0.391,0.0646,108.995,97751
5TNHTgtufEMp0QHffZXZ9Z,0.34,0.204,-14.341,0.0278,0.165,0.868,0.176,0.0731,99.994,134545
4q5jua785AFK9YKBytpJjd,0.621,0.449,-18.974,0.039,0.769,0.738,0.0931,0.197,112.052,76498
3dbbHz8HyiQJ5Umr1O1rnl,0.269,0.371,-17.467,0.0626,0.365,0.882,0.106,0.0646,78.9,282801
1lIp3jpxoKAVR2vKUWRkVh,0.446,0.598,-12.758,0.0732,0.32,0.925,0.103,0.0999,125.98,195624
1eimnjRMuZraVsEg7r1xdx,0.359,0.719,-14.062,0.051,0.105,0.802,0.398,0.08,112.024,132080
50paYwbnlozRhB0xQUISpv,0.369,0.462,-13.543,0.0385,0.225,0.935,0.173,0.0474,106.933,216354
4jrUIuPf0ebkdDxhNXWKcm,0.548,0.215,-17.872,0.0367,0.685,0.754,0.11,0.0646,105.041,106148
5tYEE4Pb8EZI1RjqdePQxG,0.243,0.19,-25.201,0.0437,0.605,0.832,0.104,0.0359,78.878,237470
2Kf2g1j3Rnn9zeDvtc3mXh,0.265,0.171,-20.975,0.042,0.836,0.844,0.105,0.038,81.116,186691
2QMRSK5E6PbvOAbJjr44C9,0.58,0.454,-15.149,0.0301,0.361,0.902,0.194,0.191,80.25,122586
16lZRGZhzb1QFNzoEAG6xs,0.275,0.217,-24.663,0.0347,0.59,0.827,0.264,0.036,110.342,204609
03XTeFTTHUTFq20MpyFYuf,0.429,0.218,-21.515,0.0454,0.0845,0.761,0.0904,0.0666,196.114,190814
5eYJB2Ikn8cPSkymUXeXR8,0.468,0.268,-12.486,0.0331,0.0305,0.895,0.117,0.0371,140.091,269760
4WVbC3B0eq12rGsEz4ROQu,0.706,0.626,-10.022,0.034,0.404,0.749,0.0937,0.482,95.02,152333
7cppAmFdOochvGuPdz5wq0,0.426,0.673,-7.264,0.0397,0.00104,0.901,0.527,0.172,151.726,179307
5KBDZruda9UaQThZa4MFqB,0.435,0.821,-8.521,0.043,0.003,0.795,0.389,0.341,89.971,168240
3EUuliPUTuM6mFjhNsfFgS,0.298,0.365,-11.4,0.0351,0.00425,0.925,0.533,0.04,166.021,156027
4jFTIZhLXhxNoXq6kRsEnQ,0.326,0.734,-9.242,0.0436,0.000281,0.846,0.117,0.127,169.987,214638
3PBUo1kQiLrTGPalU7oQQ1,0.371,0.717,-9.002,0.0481,0.00294,0.501,0.0341,0.24,137.483,217640
6adMQSmpqsAV008B2XQbcJ,0.559,0.868,-9.437,0.0813,0.00408,0.82,0.133,0.312,146.051,129366
1iZR1euFFH8KRewvqAw24g,0.321,0.118,-17.36,0.0442,0.444,0.918,0.082,0.0762,69.77,121973
4Fsb8pAsGYpN8tgCZco0AQ,0.583,0.553,-10.583,0.031,0.0837,0.931,0.0817,0.182,79.982,224827
1ETcfTCiG1UYdPflmdCIRn,0.403,0.897,-7.186,0.0522,0.0126,0.767,0.232,0.255,143.9,211403
654lMfCC5gsRmEdf10tJIg,0.353,0.507,-9.864,0.063,0.0414,0.93,0.145,0.144,168.02,285236
4iDWv6XBO6LWGJJNB2iflm,0.618,0.821,-6.515,0.0508,0.000603,0.923,0.112,0.523,94.978,205114
6gV174CEFDDZV3CFjRZqaw,0.293,0.362,-18.096,0.0603,0.0485,0.807,0.122,0.101,123.778,140453
25lF5R1xaSca4OGJ3gYgVT,0.305,0.658,-7.824,0.0495,0.00368,0.842,0.144,0.0713,199.856,230667
7Blu7ToDCQTngnTO83BKwo,0.577,0.688,-7.213,0.0369,0.00147,0.426,0.0801,0.107,125.035,225907
07o9YUgF3INn8lb7cC1PMB,0.412,0.871,-6.15,0.0602,0.000343,0.509,0.296,0.122,156.078,177238
3Xjyrrey9MZ2zZPJgfPRdY,0.536,0.682,-8.453,0.0483,0.00154,0.825,0.165,0.251,104.043,227295
0kH5mzL9jXJvvZUFnL3Vbw,0.564,0.364,-11.477,0.0303,0.0611,0.873,0.108,0.0857,95.078,134987
3G8Ngd8o3LbLzcq47wSrZU,0.335,0.496,-8.628,0.0335,0.000555,0.867,0.067,0.0461,117.109,250947
7hLZSaHxPXxIdjhDxpiXa9,0.566,0.384,-13.144,0.0716,0.174,0.911,0.085,0.138,158.044,267029
56tGOVbkxcSQs5iZYsAVyF,0.499,0.806,-6.952,0.0493,0.00347,0.85,0.369,0.137,140.016,258010
4G2QSwMWqyJ8ONH7V1Hi6u,0.644,0.886,-8.341,0.0403,0.0756,0.836,0.111,0.813,106.044,216066
4s49ctugNmPXTC354mYEam,0.548,0.927,-8.148,0.0327,0.00982,0.898,0.124,0.877,100.018,203929
5zqWvMXa4uUc4mIqAgEmvv,0.413,0.778,-8.769,0.0354,0.0551,0.343,0.195,0.389,137.915,142351
0XlyIRe8sOkgFA3dIOuOM1,0.177,0.783,-5.333,0.0432,0.176,0.95,0.758,0.272,76.067,178408
6QVNbawPIm9sMXYILau46F,0.703,0.961,-6.399,0.0346,0.0468,0.803,0.0951,0.765,130.013,220324
7lDWwEM7ZTlLPyzu5cm5Gn,0.537,0.933,-6.765,0.03,0.0798,0.974,0.0782,0.256,111.01,273905
4Hc9axB4lia5bTIJKEBzkI,0.375,0.668,-9.059,0.0361,0.00354,0.939,0.111,0.0985,159.995,92280
53J01TTAr2muk87Rx7h8CK,0.539,0.716,-6.661,0.0287,0.0516,0.951,0.262,0.142,129.985,143950
0kgtoGKFaIhqR5L8JRiRpq,0.527,0.838,-6.037,0.0298,0.000202,0.606,0.163,0.353,107.991,306694
11LCgPRfqaodtTrjLwQID3,0.57,0.903,-8.453,0.0428,0.0225,0.901,0.119,0.961,140.053,153947
0ioBZYPrZ3YLxgvvyhJqCg,0.609,0.578,-8.248,0.0245,0.742,0.907,0.169,0.512,89.981,108362
5WWBugzyIT9EBCwNZrqUVE,0.526,0.58,-9.603,0.0436,0.601,0.94,0.0803,0.343,106.059,77973
6gcRzvPSv2BE0pETSZlFuf,0.361,0.436,-5.148,0.0301,0.0378,0.0,0.125,0.0647,133.724,284017
3GIU9IF7OyriKaTyVSOXXm,0.513,0.958,-6.208,0.0559,9.27e-05,0.958,0.125,0.82,140.024,280703
3WVuiYoa2uQSLBTLD73ZSj,0.567,0.986,-7.864,0.0374,0.0365,0.719,0.073,0.41,119.993,194472
11rMouIohAoQTzaSla8rQP,0.576,0.91,-7.452,0.0315,0.000981,0.7,0.172,0.264,112.067,216066
5IUZbJqQzhMwYxqx5RaP8p,0.393,0.416,-9.034,0.0476,0.457,0.586,0.166,0.425,110.052,138078
1jLcnzgP7ha4VlHGj2Vzhh,0.598,0.897,-5.264,0.0354,0.00138,0.777,0.0795,0.51,124.961,124357
